movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name
avatar,Action Adventure Fantasy Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi
pirates of the caribbean: at world's end,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
spectre,Action Adventure Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman
the dark knight rises,Action Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
star wars: episode vii - the force awakens            ,Documentary,Doug Walker,Doug Walker,Rob Walker,unknown
john carter,Action Adventure Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker
spider-man 3,Action Adventure Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey
avengers: age of ultron,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
harry potter and the half-blood prince,Adventure Family Fantasy Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint
batman v superman: dawn of justice,Action Adventure Sci-Fi,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin
superman returns,Action Adventure Sci-Fi,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella
quantum of solace,Action Adventure,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
pirates of the caribbean: dead man's chest,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
the lone ranger,Action Adventure Western,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson
man of steel,Action Adventure Fantasy Sci-Fi,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix
the chronicles of narnia: prince caspian,Action Adventure Family Fantasy,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
the avengers,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
pirates of the caribbean: on stranger tides,Action Adventure Fantasy,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham
men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
the hobbit: the battle of the five armies,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
the amazing spider-man,Action Adventure Fantasy,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka
robin hood,Action Adventure Drama History,Ridley Scott,Mark Addy,William Hurt,Scott Grimes
the hobbit: the desolation of smaug,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
the golden compass,Adventure Family Fantasy,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas
king kong,Action Adventure Drama Romance,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke
titanic,Drama Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
captain america: civil war,Action Adventure Sci-Fi,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans
battleship,Action Adventure Sci-Fi Thriller,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
jurassic world,Action Adventure Sci-Fi Thriller,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy
skyfall,Action Adventure Thriller,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear
spider-man 2,Action Adventure Fantasy Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
iron man 3,Action Adventure Sci-Fi,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle
alice in wonderland,Adventure Family Fantasy,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway
x-men: the last stand,Action Adventure Fantasy Sci-Fi Thriller,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
monsters university,Adventure Animation Comedy Family Fantasy,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes
transformers: revenge of the fallen,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
transformers: age of extinction,Action Adventure Sci-Fi,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer
oz the great and powerful,Adventure Family Fantasy,Sam Raimi,Tim Holmes,Mila Kunis,James Franco
the amazing spider-man 2,Action Adventure Fantasy Sci-Fi,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak
tron: legacy,Action Adventure Sci-Fi,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain
cars 2,Adventure Animation Comedy Family Sport,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
green lantern,Action Adventure Sci-Fi,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi
toy story 3,Adventure Animation Comedy Family Fantasy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles
terminator salvation,Action Adventure Sci-Fi,McG,Christian Bale,Bryce Dallas Howard,Common
furious 7,Action Crime Thriller,James Wan,Jason Statham,Paul Walker,Vin Diesel
world war z,Action Adventure Horror Sci-Fi Thriller,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos
x-men: days of future past,Action Adventure Fantasy Sci-Fi Thriller,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
star trek into darkness,Action Adventure Sci-Fi,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
jack the giant slayer,Adventure Fantasy,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown
the great gatsby,Drama Romance,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
prince of persia: the sands of time,Action Adventure Fantasy Romance,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
pacific rim,Action Adventure Sci-Fi,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
transformers: dark of the moon,Action Adventure Sci-Fi,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn
indiana jones and the kingdom of the crystal skull,Action Adventure Fantasy,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent
the good dinosaur,Adventure Animation Comedy Family Fantasy,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn
brave,Adventure Animation Comedy Family Fantasy,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters
star trek beyond,Action Adventure Sci-Fi Thriller,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
wall·e,Adventure Animation Family Sci-Fi,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin
rush hour 3,Action Comedy Crime Thriller,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir
2012,Action Adventure Sci-Fi,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy
a christmas carol,Animation Drama Family Fantasy,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman
jupiter ascending,Action Adventure Sci-Fi,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne
the legend of tarzan,Action Adventure Drama Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump
"the chronicles of narnia: the lion, the witch and the wardrobe",Adventure Family Fantasy,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi
x-men: apocalypse,Action Adventure Sci-Fi,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
the dark knight,Action Crime Drama Thriller,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman
up,Adventure Animation Comedy Family,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell
monsters vs. aliens,Action Adventure Animation Comedy Family Sci-Fi,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert
iron man,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau
hugo,Adventure Drama Family Mystery,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone
wild wild west,Action Comedy Sci-Fi Western,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling
the mummy: tomb of the dragon emperor,Action Adventure Fantasy Horror Thriller,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong
suicide squad,Action Adventure Comedy Sci-Fi,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz
evan almighty,Comedy Family Fantasy,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell
edge of tomorrow,Action Adventure Sci-Fi,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor
waterworld,Action Adventure Sci-Fi Thriller,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
g.i. joe: the rise of cobra,Action Adventure Sci-Fi Thriller,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
inside out,Adventure Animation Comedy Drama Family Fantasy,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith
the jungle book,Adventure Drama Family Fantasy,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling
iron man 2,Action Adventure Sci-Fi,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
snow white and the huntsman,Action Adventure Drama Fantasy,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin
maleficent,Action Adventure Family Fantasy Romance,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
dawn of the planet of the apes,Action Adventure Drama Sci-Fi,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee
the lovers,Action Adventure Romance Sci-Fi,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu
47 ronin,Action Adventure Drama Fantasy,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
captain america: the winter soldier,Action Adventure Sci-Fi,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell
shrek forever after,Adventure Animation Comedy Family Fantasy,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place
tomorrowland,Action Adventure Family Mystery Sci-Fi,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson
big hero 6,Action Adventure Animation Comedy Drama Family Sci-Fi,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
wreck-it ralph,Adventure Animation Comedy Family Sci-Fi,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
the polar express,Adventure Animation Family Fantasy,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari
independence day: resurgence,Action Adventure Sci-Fi,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch
how to train your dragon,Adventure Animation Family Fantasy,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson
terminator 3: rise of the machines,Action Sci-Fi,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy
guardians of the galaxy,Action Adventure Sci-Fi,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou
interstellar,Adventure Drama Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
inception,Action Adventure Sci-Fi Thriller,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
godzilla resurgence,Action Adventure Drama Horror Sci-Fi,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
the hobbit: an unexpected journey,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt
the fast and the furious,Action Crime Thriller,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster
the curious case of benjamin button,Drama Fantasy Romance,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond
x-men: first class,Action Adventure Sci-Fi,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt
the hunger games: mockingjay - part 2,Adventure Sci-Fi,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
the sorcerer's apprentice,Action Adventure Family Fantasy,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron
poseidon,Action Adventure Drama Thriller,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher
alice through the looking glass,Adventure Family Fantasy,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway
shrek the third,Adventure Animation Comedy Family Fantasy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett
warcraft,Action Adventure Fantasy,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga
terminator genisys,Action Adventure Sci-Fi,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith
the chronicles of narnia: the voyage of the dawn treader,Adventure Family Fantasy,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent
pearl harbor,Action Drama History Romance War,Michael Bay,Jennifer Garner,Jaime King,Mako
transformers,Action Adventure Sci-Fi,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn
alexander,Action Adventure Biography Drama History Romance War,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
harry potter and the order of the phoenix,Adventure Family Fantasy Mystery,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
harry potter and the goblet of fire,Adventure Family Fantasy Mystery,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint
hancock,Action Drama,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan
i am legend,Drama Horror Sci-Fi,Francis Lawrence,Will Smith,Alice Braga,Willow Smith
charlie and the chocolate factory,Adventure Comedy Family Fantasy,Tim Burton,Johnny Depp,Christopher Lee,David Kelly
ratatouille,Animation Comedy Family Fantasy,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy
batman begins,Action Adventure,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman
madagascar: escape 2 africa,Action Adventure Animation Comedy Family,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
night at the museum: battle of the smithsonian,Adventure Comedy Family Fantasy,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan
x-men origins: wolverine,Action Adventure Fantasy Sci-Fi Thriller,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
the matrix revolutions,Action Sci-Fi,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye
frozen,Adventure Animation Comedy Family Fantasy Musical,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
the matrix reloaded,Action Sci-Fi,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
thor: the dark world,Action Adventure Fantasy,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins
mad max: fury road,Action Adventure Sci-Fi Thriller,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz
angels & demons,Mystery Thriller,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
thor,Action Adventure Fantasy,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins
bolt,Adventure Animation Comedy Drama Family,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton
g-force,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
wrath of the titans,Action Adventure Fantasy,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James
dark shadows,Comedy Fantasy Horror,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee
mission: impossible - rogue nation,Action Adventure Thriller,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris
the wolfman,Drama Fantasy Horror Thriller,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik
the legend of tarzan,Action Adventure Drama Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump
bee movie,Adventure Animation Comedy Family,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn
kung fu panda 2,Action Adventure Animation Comedy Family,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell
the last airbender,Action Adventure Family Fantasy,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
mission: impossible iii,Action Adventure Thriller,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
white house down,Action Drama Thriller,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven
mars needs moms,Action Adventure Animation Comedy Family Sci-Fi,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
flushed away,Adventure Animation Comedy Family,David Bowers,Hugh Jackman,Kate Winslet,David Suchet
pan,Adventure Family Fantasy,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie
mr. peabody & sherman,Adventure Animation Comedy Family Sci-Fi,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar
troy,Adventure,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover
madagascar 3: europe's most wanted,Adventure Animation Comedy Family,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
die another day,Action Adventure Thriller,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune
ghostbusters,Action Comedy Fantasy Sci-Fi,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods
armageddon,Action Adventure Sci-Fi Thriller,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton
men in black ii,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn
beowulf,Action Adventure Animation Fantasy,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché
kung fu panda 3,Action Adventure Animation Comedy Family,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
mission: impossible - ghost protocol,Action Adventure Thriller,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist
rise of the guardians,Adventure Animation Family Fantasy,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin
fun with dick and jane,Comedy Crime,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman
the last samurai,Action Drama History War,Edward Zwick,Tom Cruise,Tony Goldwyn,Chad Lindberg
exodus: gods and kings,Action Adventure Drama,Ridley Scott,Christian Bale,María Valverde,Ben Mendelsohn
star trek,Action Adventure Sci-Fi,J.J. Abrams,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
spider-man,Action Adventure Fantasy Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst
how to train your dragon 2,Action Adventure Animation Comedy Family Fantasy,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera
gods of egypt,Action Adventure Fantasy,Alex Proyas,Gerard Butler,Elodie Yung,Bryan Brown
stealth,Action Adventure Sci-Fi Thriller,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh
watchmen,Action Drama Mystery Sci-Fi,Zack Snyder,Matt Frewer,Billy Crudup,Stephen McHattie
lethal weapon 4,Action Crime Thriller,Richard Donner,Jet Li,Rene Russo,Darlene Love
hulk,Action Sci-Fi,Ang Lee,Kevin Rankin,Regi Davis,Celia Weston
g.i. joe: retaliation,Action Adventure Sci-Fi Thriller,Jon M. Chu,Channing Tatum,Dwayne Johnson,Elodie Yung
sahara,Action Adventure Comedy Thriller,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo
final fantasy: the spirits within,Action Adventure Animation Fantasy Romance Sci-Fi,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons
captain america: the first avenger,Action Adventure Sci-Fi,Joe Johnston,Chris Evans,Dominic Cooper,Hayley Atwell
the world is not enough,Action Adventure Thriller,Michael Apted,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn
master and commander: the far side of the world,Action Adventure Drama History War,Peter Weir,James D'Arcy,Lee Ingleby,David Threlfall
the twilight saga: breaking dawn - part 2,Adventure Drama Fantasy Romance,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner
happy feet 2,Animation Comedy Family Musical,George Miller,Robin Williams,Brad Pitt,Common
the incredible hulk,Action Adventure Sci-Fi,Louis Leterrier,Ty Burrell,Peter Mensah,William Hurt
miami vice            ,Action Crime Drama Mystery Thriller,unknown,Don Johnson,Philip Michael Thomas,John Diehl
the bfg,Adventure Family Fantasy,Steven Spielberg,Mark Rylance,Penelope Wilton,Rafe Spall
the revenant,Adventure Drama Thriller Western,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Lukas Haas
turbo,Adventure Animation Comedy Family Sport,David Soren,Ryan Reynolds,Snoop Dogg,Ben Schwartz
rango,Adventure Animation Comedy Family Western,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root
penguins of madagascar,Adventure Animation Comedy Family,Eric Darnell,Benedict Cumberbatch,Annet Mahendru,Andy Richter
the bourne ultimatum,Action Mystery Thriller,Paul Greengrass,Matt Damon,Edgar Ramírez,Albert Finney
kung fu panda,Action Adventure Animation Comedy Family,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler
ant-man,Action Adventure Comedy Sci-Fi,Peyton Reed,Judy Greer,Hayley Atwell,T.I.
the hunger games: catching fire,Adventure Sci-Fi Thriller,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
the twilight saga: breaking dawn - part 2,Adventure Drama Fantasy Romance,Bill Condon,Robert Pattinson,Kristen Stewart,Taylor Lautner
home,Adventure Animation Comedy Family Fantasy Sci-Fi,Tim Johnson,Jim Parsons,Matt Jones,April Winchell
war of the worlds,Adventure Sci-Fi Thriller,Steven Spielberg,Tom Cruise,Lisa Ann Walter,Rick Gonzalez
bad boys ii,Action Comedy Crime Thriller,Michael Bay,Will Smith,Henry Rollins,Jordi Mollà
puss in boots,Action Adventure Animation Comedy Family Fantasy,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris
salt,Action Crime Mystery Thriller,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl
noah,Action Adventure Drama,Darren Aronofsky,Anthony Hopkins,Emma Watson,Logan Lerman
the adventures of tintin,Action Adventure Family Mystery,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran
harry potter and the prisoner of azkaban,Adventure Family Fantasy Mystery,Alfonso Cuarón,Daniel Radcliffe,Gary Oldman,Rupert Grint
australia,Adventure Drama Romance War,Baz Luhrmann,Essie Davis,Bryan Brown,Eddie Baroo
after earth,Action Adventure Sci-Fi,M. Night Shyamalan,Will Smith,Zoë Kravitz,Glenn Morshower
dinosaur,Adventure Animation Family Thriller,Eric Leighton,Alfre Woodard,D.B. Sweeney,Della Reese
harry potter and the deathly hallows: part ii,Action Fantasy,Matt Birch,Rupert Grint,Dave Legeno,Ralph Ineson
night at the museum: secret of the tomb,Adventure Comedy Family Fantasy,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan
megamind,Action Animation Comedy Family Sci-Fi,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell
harry potter and the sorcerer's stone,Adventure Family Fantasy,Chris Columbus,Daniel Radcliffe,Fiona Shaw,Verne Troyer
r.i.p.d.,Action Comedy Fantasy,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
godzilla resurgence,Action Adventure Drama Horror Sci-Fi,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
pirates of the caribbean: the curse of the black pearl,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport
harry potter and the deathly hallows: part i,Fantasy,Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch
the hunger games: mockingjay - part 1,Adventure Sci-Fi Thriller,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
the da vinci code,Mystery Thriller,Ron Howard,Tom Hanks,Seth Gabel,Jürgen Prochnow
rio 2,Adventure Animation Comedy Family Musical,Carlos Saldanha,Miguel Ferrer,Rachel Crow,Jeffrey Garcia
x-men 2,Action Adventure Fantasy Sci-Fi Thriller,Bryan Singer,Hugh Jackman,Bruce Davison,Aaron Stanford
fast five,Action Crime Thriller,Justin Lin,Paul Walker,Vin Diesel,Dwayne Johnson
sherlock holmes: a game of shadows,Action Adventure Crime Mystery Thriller,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson
clash of the titans,Action Adventure Fantasy,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos
total recall,Action Sci-Fi,Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell
the 13th warrior,Action Adventure History,John McTiernan,Tony Curran,Vladimir Kulich,Clive Russell
